Vardas         Pavarde        ND1	ND2	ND3	ND4	ND5	ND6	ND7	ND8	ND9	ND10	ND11	ND12	ND13	ND14	ND15	Egz.
Vardas338      Pavarde338     5     	4     	3     	2     	6     	9     	2     	5     	3     	10    	1     	2     	6     	3     	7     	9     	
Vardas339      Pavarde339     9     	7     	3     	3     	4     	1     	4     	8     	3     	2     	9     	2     	1     	7     	7     	8     	
Vardas340      Pavarde340     1     	1     	10    	7     	1     	7     	4     	3     	4     	6     	1     	4     	8     	10    	1     	6     	
Vardas341      Pavarde341     10    	5     	9     	4     	1     	6     	6     	6     	7     	7     	3     	1     	8     	4     	1     	10    	
Vardas342      Pavarde342     1     	8     	10    	6     	10    	4     	6     	1     	6     	4     	9     	4     	10    	7     	2     	1     	
Vardas343      Pavarde343     5     	9     	5     	6     	2     	6     	5     	10    	4     	2     	5     	4     	3     	6     	10    	9     	
Vardas344      Pavarde344     4     	4     	5     	8     	6     	3     	8     	7     	3     	9     	4     	10    	8     	9     	4     	5     	
Vardas345      Pavarde345     10    	1     	10    	3     	6     	4     	2     	6     	6     	10    	1     	8     	5     	10    	4     	4     	
Vardas346      Pavarde346     7     	8     	7     	2     	2     	6     	8     	5     	10    	8     	9     	8     	10    	4     	8     	9     	
Vardas347      Pavarde347     8     	8     	5     	6     	1     	2     	8     	4     	10    	6     	3     	7     	2     	1     	1     	5     	
Vardas348      Pavarde348     1     	5     	8     	5     	10    	8     	6     	6     	7     	3     	3     	7     	1     	7     	1     	5     	
Vardas349      Pavarde349     7     	7     	6     	3     	1     	9     	4     	7     	1     	10    	9     	10    	7     	3     	7     	2     	
Vardas350      Pavarde350     7     	9     	10    	2     	2     	3     	7     	7     	8     	7     	4     	7     	10    	4     	5     	8     	
Vardas351      Pavarde351     3     	3     	1     	3     	8     	4     	3     	3     	5     	3     	2     	1     	2     	8     	2     	3     	
Vardas352      Pavarde352     7     	3     	7     	2     	6     	3     	10    	10    	4     	5     	2     	7     	10    	1     	2     	10    	
Vardas353      Pavarde353     3     	9     	5     	9     	10    	2     	3     	3     	8     	7     	7     	9     	10    	10    	10    	8     	
Vardas354      Pavarde354     5     	1     	9     	6     	8     	4     	7     	4     	5     	3     	3     	9     	2     	6     	8     	6     	
Vardas355      Pavarde355     7     	5     	3     	3     	2     	1     	2     	4     	8     	8     	5     	5     	2     	4     	3     	10    	
Vardas356      Pavarde356     2     	4     	10    	3     	7     	1     	5     	7     	10    	3     	7     	7     	9     	4     	2     	1     	
Vardas357      Pavarde357     2     	3     	8     	1     	6     	8     	2     	5     	8     	3     	4     	10    	10    	2     	5     	9     	
Vardas358      Pavarde358     8     	5     	10    	5     	5     	5     	1     	10    	4     	2     	8     	1     	4     	2     	5     	10    	
Vardas359      Pavarde359     3     	8     	1     	7     	4     	8     	1     	6     	7     	8     	7     	3     	6     	8     	3     	6     	
Vardas360      Pavarde360     9     	8     	8     	3     	9     	5     	4     	7     	3     	10    	6     	2     	8     	4     	4     	9     	
Vardas361      Pavarde361     6     	3     	6     	2     	4     	3     	10    	3     	6     	3     	7     	8     	4     	3     	6     	9     	
Vardas362      Pavarde362     3     	2     	8     	4     	7     	5     	10    	4     	5     	3     	6     	3     	9     	6     	6     	5     	
Vardas363      Pavarde363     8     	2     	8     	1     	7     	1     	7     	9     	4     	9     	4     	2     	7     	7     	6     	5     	
Vardas364      Pavarde364     2     	8     	2     	10    	1     	7     	8     	2     	8     	7     	10    	2     	7     	10    	10    	10    	
Vardas365      Pavarde365     7     	2     	6     	3     	8     	5     	3     	3     	3     	6     	10    	9     	3     	7     	10    	4     	
Vardas366      Pavarde366     9     	5     	2     	10    	4     	10    	9     	5     	1     	8     	1     	5     	10    	2     	4     	7     	
Vardas367      Pavarde367     1     	2     	2     	1     	1     	3     	2     	1     	10    	5     	7     	10    	3     	6     	10    	4     	
Vardas368      Pavarde368     2     	4     	7     	9     	1     	5     	10    	4     	5     	7     	5     	5     	10    	4     	5     	2     	
Vardas369      Pavarde369     6     	2     	2     	6     	2     	3     	10    	6     	9     	10    	1     	9     	2     	10    	3     	1     	
Vardas370      Pavarde370     10    	10    	2     	3     	8     	3     	5     	7     	9     	9     	10    	6     	10    	7     	7     	9     	
Vardas371      Pavarde371     7     	10    	8     	6     	4     	2     	8     	8     	6     	6     	10    	3     	10    	3     	4     	9     	
Vardas372      Pavarde372     8     	5     	4     	5     	4     	3     	9     	9     	4     	4     	8     	5     	5     	7     	1     	7     	
Vardas373      Pavarde373     2     	1     	5     	6     	5     	8     	7     	7     	2     	5     	6     	1     	3     	9     	3     	10    	
Vardas374      Pavarde374     1     	6     	4     	5     	10    	5     	1     	9     	3     	5     	1     	8     	3     	9     	3     	4     	
Vardas375      Pavarde375     9     	3     	2     	10    	2     	3     	9     	7     	6     	7     	6     	6     	7     	8     	2     	5     	
Vardas376      Pavarde376     6     	2     	2     	8     	6     	9     	10    	2     	3     	3     	5     	3     	9     	7     	2     	3     	
Vardas377      Pavarde377     2     	5     	4     	5     	6     	3     	3     	4     	7     	2     	2     	10    	1     	8     	7     	10    	
Vardas378      Pavarde378     10    	5     	2     	8     	4     	7     	3     	5     	8     	1     	6     	9     	7     	6     	5     	7     	
Vardas379      Pavarde379     2     	2     	10    	2     	6     	4     	5     	10    	10    	1     	9     	1     	7     	1     	1     	8     	
Vardas380      Pavarde380     6     	7     	3     	10    	3     	5     	6     	2     	6     	2     	1     	1     	2     	8     	8     	8     	
Vardas381      Pavarde381     2     	1     	10    	9     	6     	10    	1     	2     	1     	4     	6     	8     	3     	9     	7     	5     	
Vardas382      Pavarde382     1     	4     	5     	5     	9     	8     	4     	5     	2     	8     	3     	5     	1     	6     	4     	10    	
Vardas383      Pavarde383     8     	5     	6     	3     	3     	1     	9     	8     	4     	7     	2     	6     	10    	1     	1     	1     	
Vardas384      Pavarde384     9     	4     	7     	4     	9     	6     	2     	9     	1     	5     	3     	7     	7     	3     	3     	4     	
Vardas385      Pavarde385     3     	3     	1     	2     	6     	5     	3     	5     	8     	5     	2     	9     	9     	2     	9     	10    	
Vardas386      Pavarde386     10    	3     	2     	2     	6     	5     	3     	5     	9     	5     	8     	5     	4     	7     	4     	1     	
Vardas387      Pavarde387     2     	7     	8     	5     	7     	3     	6     	3     	10    	6     	8     	3     	2     	4     	6     	3     	
Vardas388      Pavarde388     8     	2     	10    	9     	6     	7     	8     	3     	8     	7     	1     	8     	4     	4     	2     	5     	
Vardas389      Pavarde389     5     	10    	2     	4     	3     	4     	7     	6     	4     	8     	1     	10    	8     	1     	6     	10    	
Vardas390      Pavarde390     8     	2     	7     	8     	4     	7     	1     	9     	1     	4     	9     	8     	10    	4     	7     	8     	
Vardas391      Pavarde391     10    	2     	6     	7     	5     	1     	1     	7     	5     	10    	4     	4     	9     	7     	1     	1     	
Vardas392      Pavarde392     1     	9     	3     	6     	5     	4     	8     	6     	9     	8     	9     	5     	4     	4     	9     	4     	
Vardas393      Pavarde393     3     	4     	5     	7     	9     	5     	5     	3     	3     	7     	10    	1     	6     	1     	7     	5     	
Vardas394      Pavarde394     3     	5     	3     	9     	9     	10    	3     	10    	6     	9     	1     	5     	3     	2     	10    	7     	
Vardas395      Pavarde395     2     	4     	8     	8     	1     	10    	9     	3     	4     	5     	10    	5     	10    	5     	9     	8     	
Vardas396      Pavarde396     8     	5     	5     	3     	2     	5     	7     	2     	8     	5     	8     	7     	2     	2     	2     	9     	
Vardas397      Pavarde397     2     	2     	5     	10    	6     	3     	10    	4     	9     	5     	8     	10    	9     	4     	5     	9     	
Vardas398      Pavarde398     7     	2     	8     	5     	2     	1     	10    	4     	4     	5     	2     	7     	9     	4     	9     	7     	
Vardas399      Pavarde399     4     	5     	2     	7     	2     	10    	2     	2     	7     	1     	7     	9     	4     	6     	7     	2     	
Vardas400      Pavarde400     8     	10    	7     	7     	4     	2     	4     	5     	6     	8     	5     	7     	2     	3     	8     	1     	
Vardas401      Pavarde401     1     	2     	10    	3     	6     	2     	9     	8     	10    	2     	2     	1     	7     	2     	1     	7     	
Vardas402      Pavarde402     4     	6     	5     	1     	6     	3     	6     	1     	8     	4     	2     	1     	9     	4     	5     	6     	
Vardas403      Pavarde403     2     	5     	6     	6     	1     	5     	2     	5     	9     	10    	4     	5     	5     	8     	7     	9     	
Vardas404      Pavarde404     6     	3     	6     	5     	1     	1     	2     	2     	8     	1     	4     	9     	1     	6     	1     	9     	
Vardas405      Pavarde405     8     	6     	5     	5     	2     	10    	8     	2     	7     	3     	5     	4     	6     	7     	2     	10    	
Vardas406      Pavarde406     10    	4     	7     	8     	2     	9     	6     	5     	7     	8     	4     	3     	4     	1     	10    	4     	
Vardas407      Pavarde407     8     	5     	9     	4     	5     	4     	9     	6     	3     	4     	6     	7     	2     	3     	3     	8     	
Vardas408      Pavarde408     6     	3     	5     	10    	6     	1     	1     	9     	3     	7     	3     	4     	6     	3     	10    	7     	
Vardas409      Pavarde409     5     	6     	7     	6     	4     	5     	5     	9     	10    	1     	9     	2     	6     	10    	1     	1     	
Vardas410      Pavarde410     2     	4     	6     	9     	7     	5     	10    	9     	2     	5     	4     	3     	8     	6     	4     	2     	
Vardas411      Pavarde411     10    	6     	5     	3     	4     	10    	7     	10    	8     	5     	8     	10    	6     	4     	6     	1     	
Vardas412      Pavarde412     3     	1     	3     	7     	4     	4     	3     	2     	8     	9     	7     	6     	3     	9     	4     	6     	
Vardas413      Pavarde413     2     	4     	1     	5     	7     	5     	10    	3     	2     	3     	6     	1     	9     	7     	9     	8     	
Vardas414      Pavarde414     6     	3     	4     	10    	5     	6     	4     	1     	2     	2     	7     	9     	6     	2     	3     	3     	
Vardas415      Pavarde415     5     	10    	8     	3     	8     	7     	7     	10    	6     	9     	1     	7     	2     	7     	1     	10    	
Vardas416      Pavarde416     8     	7     	5     	3     	3     	10    	7     	2     	9     	1     	2     	3     	7     	8     	10    	2     	
Vardas417      Pavarde417     6     	5     	2     	4     	6     	9     	6     	1     	9     	1     	4     	9     	6     	1     	6     	4     	
Vardas418      Pavarde418     6     	3     	3     	5     	5     	4     	1     	5     	10    	2     	4     	1     	3     	4     	9     	4     	
Vardas419      Pavarde419     10    	7     	6     	10    	6     	1     	2     	4     	3     	9     	4     	1     	8     	4     	10    	5     	
Vardas420      Pavarde420     8     	4     	7     	1     	5     	8     	5     	5     	9     	10    	8     	8     	5     	8     	10    	3     	
Vardas421      Pavarde421     4     	4     	9     	10    	5     	2     	1     	8     	9     	10    	8     	6     	2     	2     	10    	5     	
Vardas422      Pavarde422     7     	3     	2     	5     	1     	2     	2     	1     	4     	2     	9     	10    	10    	10    	7     	7     	
Vardas423      Pavarde423     9     	4     	8     	7     	3     	7     	1     	2     	8     	10    	9     	8     	9     	1     	7     	6     	
Vardas424      Pavarde424     8     	9     	5     	7     	5     	9     	8     	9     	5     	8     	4     	3     	6     	2     	10    	7     	
Vardas425      Pavarde425     6     	2     	5     	9     	7     	7     	4     	10    	9     	2     	9     	10    	10    	4     	9     	9     	
Vardas426      Pavarde426     7     	10    	9     	1     	8     	5     	1     	2     	1     	8     	9     	7     	3     	1     	6     	8     	
Vardas427      Pavarde427     5     	10    	7     	8     	7     	10    	5     	1     	6     	2     	9     	5     	2     	6     	3     	10    	
Vardas428      Pavarde428     6     	10    	9     	1     	3     	6     	7     	9     	7     	6     	4     	2     	1     	6     	2     	2     	
Vardas429      Pavarde429     6     	4     	6     	8     	3     	7     	8     	4     	3     	7     	1     	4     	2     	8     	5     	8     	
Vardas430      Pavarde430     7     	1     	8     	1     	9     	4     	3     	3     	4     	2     	5     	1     	9     	3     	10    	3     	
Vardas431      Pavarde431     8     	7     	7     	10    	8     	8     	9     	5     	10    	1     	3     	9     	1     	10    	1     	3     	
Vardas432      Pavarde432     10    	1     	8     	10    	10    	7     	4     	6     	10    	7     	7     	7     	2     	7     	1     	7     	
Vardas433      Pavarde433     8     	5     	2     	8     	2     	4     	1     	4     	3     	4     	4     	7     	6     	7     	2     	7     	
Vardas434      Pavarde434     2     	8     	6     	8     	9     	7     	9     	4     	6     	4     	3     	9     	2     	1     	7     	6     	
Vardas435      Pavarde435     6     	9     	1     	5     	7     	1     	7     	4     	3     	7     	9     	9     	8     	4     	9     	8     	
Vardas436      Pavarde436     3     	2     	3     	8     	4     	9     	8     	3     	3     	1     	9     	6     	5     	3     	4     	6     	
Vardas437      Pavarde437     3     	8     	8     	7     	7     	9     	4     	1     	3     	10    	10    	4     	4     	9     	6     	5     	
Vardas438      Pavarde438     7     	8     	1     	9     	9     	7     	9     	4     	2     	3     	1     	9     	5     	9     	9     	3     	
Vardas439      Pavarde439     6     	6     	5     	1     	2     	5     	5     	10    	2     	6     	1     	2     	4     	6     	1     	5     	
Vardas440      Pavarde440     5     	9     	7     	8     	9     	2     	8     	8     	2     	4     	9     	3     	9     	5     	6     	3     	
Vardas441      Pavarde441     3     	3     	2     	9     	3     	4     	10    	6     	5     	2     	5     	1     	3     	8     	6     	9     	
Vardas442      Pavarde442     3     	9     	5     	3     	1     	5     	6     	1     	9     	10    	4     	2     	1     	1     	4     	6     	
Vardas443      Pavarde443     8     	10    	4     	9     	6     	10    	6     	7     	8     	2     	10    	4     	3     	7     	10    	4     	
Vardas444      Pavarde444     1     	3     	2     	5     	1     	10    	9     	2     	5     	2     	1     	3     	2     	8     	8     	5     	
Vardas445      Pavarde445     7     	8     	5     	1     	1     	10    	6     	10    	5     	1     	1     	9     	8     	6     	9     	5     	
Vardas446      Pavarde446     2     	4     	3     	8     	1     	1     	8     	1     	7     	1     	4     	3     	9     	3     	5     	3     	
Vardas447      Pavarde447     1     	9     	1     	2     	2     	6     	9     	8     	4     	2     	1     	10    	7     	1     	10    	1     	
Vardas448      Pavarde448     6     	9     	1     	9     	6     	8     	3     	7     	9     	3     	8     	1     	3     	1     	10    	7     	
Vardas449      Pavarde449     8     	6     	7     	2     	5     	8     	2     	7     	10    	1     	6     	2     	1     	4     	7     	6     	
Vardas450      Pavarde450     7     	6     	6     	8     	8     	3     	4     	8     	1     	8     	9     	2     	1     	6     	4     	9     	
Vardas451      Pavarde451     8     	2     	10    	6     	10    	4     	9     	6     	10    	8     	6     	7     	7     	1     	10    	2     	
Vardas452      Pavarde452     1     	2     	7     	2     	2     	3     	5     	4     	1     	7     	2     	6     	7     	4     	9     	5     	
Vardas453      Pavarde453     5     	5     	2     	7     	7     	1     	9     	9     	9     	6     	9     	6     	8     	10    	9     	4     	
Vardas454      Pavarde454     10    	8     	2     	1     	1     	9     	1     	6     	8     	1     	5     	5     	4     	10    	10    	2     	
Vardas455      Pavarde455     1     	2     	8     	9     	7     	10    	8     	7     	5     	6     	6     	6     	7     	3     	7     	8     	
Vardas456      Pavarde456     8     	3     	4     	4     	6     	5     	2     	8     	1     	2     	7     	7     	6     	8     	3     	8     	
Vardas457      Pavarde457     9     	1     	2     	3     	10    	1     	3     	5     	9     	2     	1     	6     	7     	1     	9     	4     	
Vardas458      Pavarde458     3     	6     	4     	6     	3     	3     	4     	7     	1     	4     	10    	10    	2     	9     	2     	2     	
Vardas459      Pavarde459     9     	9     	3     	6     	8     	2     	5     	4     	10    	8     	8     	10    	9     	8     	6     	6     	
Vardas460      Pavarde460     9     	7     	5     	7     	2     	8     	2     	7     	10    	4     	1     	2     	3     	4     	8     	6     	
Vardas461      Pavarde461     8     	8     	5     	9     	8     	9     	8     	1     	2     	10    	1     	9     	9     	8     	9     	5     	
Vardas462      Pavarde462     8     	6     	4     	7     	9     	8     	8     	10    	5     	8     	10    	6     	7     	5     	8     	6     	
Vardas463      Pavarde463     3     	5     	8     	4     	7     	1     	7     	3     	8     	7     	10    	2     	10    	1     	1     	10    	
Vardas464      Pavarde464     1     	9     	1     	4     	9     	9     	5     	3     	10    	7     	4     	2     	2     	9     	3     	2     	
Vardas465      Pavarde465     6     	5     	6     	10    	3     	4     	10    	1     	1     	3     	3     	9     	3     	4     	5     	2     	
Vardas466      Pavarde466     8     	4     	9     	1     	4     	8     	4     	6     	7     	9     	10    	8     	7     	4     	6     	1     	
Vardas467      Pavarde467     7     	6     	10    	6     	1     	6     	6     	3     	9     	5     	1     	6     	9     	4     	1     	2     	
Vardas468      Pavarde468     10    	6     	6     	1     	5     	7     	8     	9     	5     	9     	9     	3     	5     	1     	9     	6     	
Vardas469      Pavarde469     7     	4     	9     	3     	8     	4     	3     	7     	7     	9     	9     	2     	2     	1     	3     	10    	
Vardas470      Pavarde470     4     	2     	10    	3     	3     	6     	6     	9     	1     	2     	7     	9     	9     	8     	5     	2     	
Vardas471      Pavarde471     6     	9     	4     	10    	7     	4     	7     	8     	10    	3     	4     	3     	10    	3     	1     	7     	
Vardas472      Pavarde472     4     	4     	4     	7     	7     	4     	10    	8     	7     	7     	6     	3     	6     	6     	3     	5     	
Vardas473      Pavarde473     7     	6     	5     	3     	5     	7     	5     	4     	1     	2     	3     	10    	5     	3     	8     	7     	
Vardas474      Pavarde474     3     	2     	2     	5     	10    	6     	7     	6     	7     	5     	6     	4     	6     	5     	9     	3     	
Vardas475      Pavarde475     2     	4     	2     	5     	1     	2     	9     	8     	10    	1     	6     	3     	2     	4     	6     	4     	
Vardas476      Pavarde476     5     	1     	2     	1     	6     	6     	6     	1     	5     	8     	7     	6     	3     	7     	8     	4     	
Vardas477      Pavarde477     4     	2     	6     	9     	9     	6     	4     	9     	3     	7     	2     	8     	9     	7     	1     	5     	
Vardas478      Pavarde478     7     	5     	3     	2     	9     	3     	3     	3     	7     	2     	10    	4     	8     	2     	10    	1     	
Vardas479      Pavarde479     5     	4     	4     	10    	4     	9     	4     	9     	4     	3     	7     	8     	6     	1     	8     	8     	
Vardas480      Pavarde480     7     	5     	4     	3     	8     	5     	4     	3     	1     	6     	7     	6     	5     	2     	5     	2     	
Vardas481      Pavarde481     9     	7     	6     	7     	6     	9     	4     	6     	1     	6     	4     	8     	10    	1     	9     	4     	
Vardas482      Pavarde482     9     	3     	7     	1     	3     	8     	3     	2     	1     	3     	2     	4     	10    	8     	2     	9     	
Vardas483      Pavarde483     10    	7     	3     	9     	7     	6     	4     	1     	6     	10    	7     	7     	10    	4     	6     	8     	
Vardas484      Pavarde484     3     	4     	10    	7     	6     	6     	2     	2     	8     	8     	6     	4     	6     	3     	6     	2     	
Vardas485      Pavarde485     2     	7     	6     	8     	1     	5     	8     	2     	6     	2     	6     	1     	10    	4     	5     	5     	
Vardas486      Pavarde486     1     	8     	8     	9     	3     	1     	2     	6     	2     	7     	6     	3     	2     	5     	5     	6     	
Vardas487      Pavarde487     1     	9     	7     	8     	3     	2     	4     	8     	4     	1     	8     	3     	4     	4     	2     	1     	
Vardas488      Pavarde488     5     	2     	7     	3     	3     	2     	8     	7     	2     	8     	1     	1     	2     	3     	4     	7     	
Vardas489      Pavarde489     10    	1     	8     	7     	1     	10    	1     	10    	2     	3     	9     	7     	5     	9     	8     	2     	
Vardas490      Pavarde490     9     	7     	9     	10    	2     	1     	6     	8     	2     	2     	1     	10    	3     	4     	3     	3     	
Vardas491      Pavarde491     1     	2     	3     	2     	3     	1     	10    	2     	4     	10    	8     	5     	2     	9     	5     	1     	
Vardas492      Pavarde492     9     	3     	9     	1     	10    	5     	8     	7     	4     	10    	10    	3     	2     	8     	1     	2     	
Vardas493      Pavarde493     1     	8     	8     	10    	1     	6     	3     	9     	7     	6     	7     	4     	6     	7     	3     	3     	
Vardas494      Pavarde494     3     	10    	3     	6     	5     	2     	2     	7     	1     	7     	8     	5     	1     	10    	3     	10    	
Vardas495      Pavarde495     6     	9     	5     	8     	3     	5     	3     	10    	3     	3     	5     	4     	6     	5     	9     	3     	
Vardas496      Pavarde496     2     	8     	5     	6     	8     	5     	5     	7     	10    	9     	10    	10    	3     	3     	2     	9     	
Vardas497      Pavarde497     3     	6     	7     	10    	8     	1     	10    	9     	4     	5     	8     	6     	6     	10    	2     	7     	
Vardas498      Pavarde498     7     	3     	8     	6     	8     	2     	9     	5     	3     	9     	2     	8     	1     	1     	1     	2     	
Vardas499      Pavarde499     3     	2     	8     	2     	7     	4     	10    	5     	6     	2     	1     	3     	5     	10    	2     	8     	
Vardas500      Pavarde500     10    	2     	2     	1     	8     	5     	6     	5     	8     	1     	5     	7     	3     	8     	4     	10    	
Vardas501      Pavarde501     4     	7     	1     	5     	8     	7     	2     	1     	4     	5     	9     	5     	8     	4     	8     	9     	
Vardas502      Pavarde502     6     	1     	5     	4     	7     	3     	4     	3     	3     	3     	10    	3     	9     	4     	2     	8     	
Vardas503      Pavarde503     8     	3     	3     	5     	3     	8     	3     	6     	2     	2     	10    	3     	2     	4     	4     	7     	
Vardas504      Pavarde504     6     	4     	1     	1     	6     	10    	2     	10    	9     	10    	2     	10    	6     	6     	5     	10    	
Vardas505      Pavarde505     5     	2     	8     	2     	5     	9     	6     	9     	1     	7     	8     	3     	1     	1     	4     	10    	
Vardas506      Pavarde506     8     	2     	6     	4     	7     	4     	1     	10    	9     	8     	4     	5     	8     	6     	8     	2     	
Vardas507      Pavarde507     9     	2     	4     	8     	2     	3     	6     	9     	8     	10    	6     	9     	8     	6     	3     	3     	
Vardas508      Pavarde508     4     	10    	7     	1     	3     	1     	9     	7     	3     	1     	10    	10    	9     	3     	9     	2     	
Vardas509      Pavarde509     1     	1     	4     	1     	4     	6     	9     	4     	7     	5     	3     	9     	4     	10    	10    	8     	
Vardas510      Pavarde510     2     	10    	5     	4     	7     	8     	2     	3     	10    	6     	1     	3     	2     	4     	7     	1     	
Vardas511      Pavarde511     3     	10    	2     	1     	8     	4     	5     	5     	1     	1     	9     	2     	1     	6     	3     	6     	
Vardas512      Pavarde512     6     	6     	3     	2     	1     	8     	2     	10    	3     	3     	5     	2     	1     	1     	8     	6     	
Vardas513      Pavarde513     2     	9     	6     	4     	9     	7     	7     	6     	3     	4     	5     	3     	5     	6     	10    	5     	
Vardas514      Pavarde514     10    	8     	1     	5     	5     	2     	9     	4     	3     	2     	10    	7     	4     	5     	5     	3     	
Vardas515      Pavarde515     6     	3     	7     	2     	8     	2     	7     	3     	10    	4     	7     	9     	7     	7     	10    	3     	
Vardas516      Pavarde516     2     	10    	5     	7     	8     	9     	1     	9     	6     	9     	1     	10    	5     	4     	4     	9     	
Vardas517      Pavarde517     10    	3     	9     	10    	3     	6     	2     	2     	6     	10    	10    	10    	4     	8     	4     	8     	
Vardas518      Pavarde518     5     	10    	2     	8     	9     	3     	3     	6     	5     	5     	8     	7     	4     	7     	7     	7     	
Vardas519      Pavarde519     7     	7     	3     	9     	9     	3     	3     	5     	3     	3     	9     	3     	8     	2     	2     	9     	
Vardas520      Pavarde520     9     	5     	7     	7     	2     	7     	2     	6     	1     	10    	5     	6     	7     	9     	1     	2     	
Vardas521      Pavarde521     10    	2     	1     	5     	6     	8     	10    	10    	1     	6     	1     	1     	7     	4     	4     	3     	
Vardas522      Pavarde522     9     	2     	4     	6     	2     	10    	10    	9     	9     	1     	1     	5     	9     	6     	5     	3     	
Vardas523      Pavarde523     8     	4     	6     	1     	10    	1     	3     	5     	6     	9     	1     	4     	8     	1     	9     	5     	
Vardas524      Pavarde524     3     	9     	6     	1     	4     	2     	2     	4     	10    	10    	1     	6     	8     	4     	2     	8     	
Vardas525      Pavarde525     8     	1     	9     	1     	2     	5     	6     	4     	8     	2     	6     	5     	7     	5     	5     	6     	
Vardas526      Pavarde526     10    	1     	7     	10    	7     	4     	5     	3     	1     	8     	8     	8     	8     	5     	6     	8     	
Vardas527      Pavarde527     5     	4     	9     	3     	6     	6     	3     	9     	8     	8     	9     	1     	5     	8     	10    	10    	
Vardas528      Pavarde528     9     	4     	9     	10    	5     	4     	4     	9     	3     	1     	7     	7     	8     	1     	5     	9     	
Vardas529      Pavarde529     1     	1     	7     	1     	1     	4     	2     	10    	10    	9     	4     	3     	8     	3     	10    	9     	
Vardas530      Pavarde530     3     	6     	3     	1     	10    	9     	1     	2     	10    	5     	9     	7     	1     	8     	2     	1     	
Vardas531      Pavarde531     5     	5     	5     	9     	3     	1     	5     	2     	1     	2     	8     	10    	1     	7     	2     	8     	
Vardas532      Pavarde532     10    	1     	9     	1     	3     	10    	3     	1     	2     	3     	7     	7     	2     	6     	10    	8     	
Vardas533      Pavarde533     6     	10    	3     	2     	9     	10    	10    	3     	2     	5     	4     	2     	9     	9     	6     	1     	
Vardas534      Pavarde534     7     	5     	7     	8     	1     	6     	10    	8     	3     	4     	4     	5     	1     	4     	3     	3     	
Vardas535      Pavarde535     2     	2     	4     	8     	2     	6     	3     	7     	8     	10    	4     	3     	7     	8     	10    	4     	
Vardas536      Pavarde536     4     	2     	7     	7     	8     	1     	9     	5     	4     	1     	8     	5     	3     	10    	3     	10    	
Vardas537      Pavarde537     6     	5     	5     	2     	3     	8     	9     	6     	2     	9     	1     	1     	5     	6     	10    	6     	
Vardas538      Pavarde538     3     	10    	2     	6     	2     	8     	10    	2     	9     	2     	4     	6     	8     	8     	3     	6     	
Vardas539      Pavarde539     8     	2     	6     	8     	3     	3     	1     	2     	9     	2     	9     	2     	9     	1     	4     	10    	
Vardas540      Pavarde540     9     	1     	3     	8     	7     	6     	10    	3     	1     	7     	4     	7     	8     	6     	2     	9     	
Vardas541      Pavarde541     4     	1     	7     	9     	8     	1     	10    	6     	8     	9     	3     	8     	1     	1     	10    	2     	
Vardas542      Pavarde542     3     	8     	3     	4     	5     	5     	2     	10    	6     	2     	3     	4     	9     	5     	6     	8     	
Vardas543      Pavarde543     6     	4     	1     	2     	3     	1     	6     	3     	2     	5     	10    	3     	5     	4     	5     	8     	
Vardas544      Pavarde544     3     	10    	5     	8     	6     	6     	2     	4     	2     	5     	3     	8     	9     	8     	3     	9     	
Vardas545      Pavarde545     3     	7     	4     	10    	2     	4     	1     	6     	1     	10    	7     	10    	2     	8     	10    	10    	
Vardas546      Pavarde546     7     	9     	6     	7     	4     	10    	9     	1     	8     	6     	7     	2     	5     	8     	4     	6     	
Vardas547      Pavarde547     7     	9     	5     	9     	6     	9     	8     	7     	1     	8     	9     	10    	9     	4     	1     	9     	
Vardas548      Pavarde548     1     	5     	8     	9     	9     	7     	6     	2     	6     	5     	3     	5     	9     	3     	4     	1     	
Vardas549      Pavarde549     10    	5     	3     	7     	1     	8     	3     	7     	10    	7     	3     	5     	5     	5     	7     	7     	
Vardas550      Pavarde550     1     	4     	2     	3     	3     	4     	4     	2     	1     	9     	3     	7     	8     	10    	2     	10    	
Vardas551      Pavarde551     5     	5     	2     	3     	1     	5     	8     	8     	1     	10    	3     	3     	10    	3     	4     	7     	
Vardas552      Pavarde552     7     	3     	6     	10    	6     	2     	3     	2     	4     	6     	2     	6     	4     	10    	5     	2     	
Vardas553      Pavarde553     2     	7     	1     	1     	3     	7     	6     	1     	4     	8     	8     	9     	1     	9     	2     	8     	
Vardas554      Pavarde554     6     	5     	3     	4     	1     	4     	4     	9     	5     	2     	2     	8     	1     	5     	10    	7     	
Vardas555      Pavarde555     8     	7     	10    	7     	10    	9     	4     	4     	2     	2     	6     	1     	7     	3     	4     	7     	
Vardas556      Pavarde556     9     	7     	4     	10    	4     	7     	7     	2     	8     	3     	6     	7     	9     	1     	10    	5     	
Vardas557      Pavarde557     6     	1     	2     	5     	8     	7     	4     	4     	3     	1     	3     	4     	6     	8     	5     	2     	
Vardas558      Pavarde558     10    	1     	10    	2     	9     	3     	4     	4     	7     	5     	2     	8     	10    	5     	2     	3     	
Vardas559      Pavarde559     8     	9     	7     	3     	2     	1     	2     	4     	5     	6     	5     	1     	6     	7     	1     	10    	
Vardas560      Pavarde560     1     	4     	10    	1     	2     	1     	7     	3     	6     	8     	8     	9     	1     	7     	9     	3     	
Vardas561      Pavarde561     4     	9     	9     	8     	3     	5     	4     	8     	8     	2     	6     	5     	9     	5     	2     	1     	
